title,singer,music_director,actor,genre,language,movie_name,album,year,duration_seconds,audio_file_path,moods
Friendly Fire,Sid Sriram,,,Telugu,Telugu,,Friendly Fire,,284,songs/sid_sriram_friendly_fire.mp3,romantic
Mei Nigara,Sid Sriram,,,Telugu,Telugu,,,,,songs/sid_sriram_mei_nigara.mp3,romantic
Ramuloo Ramulaa - Duet,Anurag Kulkarni,,,Telugu,Telugu,,,,,songs/anurag_kulkarni_ramuloo_ramulaa_duet.mp3,romantic
Pillaa Raa,Anurag Kulkarni,,,Telugu,Telugu,,RX 100,,237,songs/anurag_kulkarni_pillaa_raa.mp3,romantic
Ramuloo Ramulaa,Anurag Kulkarni,,,Telugu,Telugu,,Ala Vaikunthapurramuloo (Original Motion Pictures Soundtrack),,245,songs/anurag_kulkarni_ramuloo_ramulaa.mp3,romantic
"Samayama (From ""Hi Nanna"")",Anurag Kulkarni,,,Telugu,Telugu,,,,204,songs/anurag_kulkarni_samayama_from_hi_nanna.mp3,romantic
Sirivennela,Anurag Kulkarni,,,Telugu,Telugu,,Shyam Singha Roy (Original Motion Picture Soundtrack),,253,songs/anurag_kulkarni_sirivennela.mp3,romantic
Choosi Chudangane,Anurag Kulkarni,,,Telugu,Telugu,,,,202,songs/anurag_kulkarni_choosi_chudangane.mp3,romantic
Singles Anthem - Telugu,Anurag Kulkarni,,,Telugu,Telugu,,,,,songs/anurag_kulkarni_singles_anthem_telugu.mp3,romantic
Pranavalaya,Anurag Kulkarni,,,Telugu,Telugu,,Shyam Singha Roy (Original Motion Picture Soundtrack),,261,songs/anurag_kulkarni_pranavalaya.mp3,romantic
Nee Chitram Choosi,Anurag Kulkarni,,,Telugu,Telugu,,Love Story (Original Motion Picture Soundtrack),,261,songs/anurag_kulkarni_nee_chitram_choosi.mp3,romantic
Asha Pasham,Anurag Kulkarni,,,Telugu,Telugu,,Care Of Kancharapalem (Original Motion Picture Soundtrack),,260,songs/anurag_kulkarni_asha_pasham.mp3,romantic
"Sirivennela (From ""Shyam Singha Roy"")",Anurag Kulkarni,,,Telugu,Telugu,,"Sirivennela (From ""Shyam Singha Roy"") - Single",,253,songs/anurag_kulkarni_sirivennela_from_shyam_singha_roy.mp3,romantic
Samayama,Anurag Kulkarni,,,Telugu,Telugu,,,,,songs/anurag_kulkarni_samayama.mp3,romantic
Ninnele,Anurag Kulkarni,,,Telugu,Telugu,,Radhe Shyam(Telugu),,240,songs/anurag_kulkarni_ninnele.mp3,romantic
Aagi Aagi,Anurag Kulkarni,,,Telugu,Telugu,,Ee Nagaraniki Emaindi (Original Motion Picture Soundtrack),,408,songs/anurag_kulkarni_aagi_aagi.mp3,romantic
"Kallolam (From ""Padi Padi Leche Manasu"")",Anurag Kulkarni,,,Telugu,Telugu,,Top 20 Telugu Hits,,209,songs/anurag_kulkarni_kallolam_from_padi_padi_leche_manasu.mp3,romantic
Mahanati,Anurag Kulkarni,,,Telugu,Telugu,,Mahanati (Original Motion Picture Soundtrack),,,songs/anurag_kulkarni_mahanati.mp3,romantic
Arere Aakasham - Telugu,Anurag Kulkarni,,,Telugu,Telugu,,,,,songs/anurag_kulkarni_arere_aakasham_telugu.mp3,romantic
"Pranavalaya (From ""Shyam Singha Roy"")",Anurag Kulkarni,,,Telugu,Telugu,,"Pranavalaya (From ""Shyam Singha Roy"") - Single",,261,songs/anurag_kulkarni_pranavalaya_from_shyam_singha_roy.mp3,romantic
Kallolam,Anurag Kulkarni,,,Telugu,Telugu,,Padi Padi Leche Manasu (Original Motion Picture Soundtrack),,209,songs/anurag_kulkarni_kallolam.mp3,romantic
Sara Sari - Telugu,Anurag Kulkarni,,,Telugu,Telugu,,,,,songs/anurag_kulkarni_sara_sari_telugu.mp3,romantic
"Kanne Kanne (From ""Arjun Suravaram"")",Anurag Kulkarni,,,Telugu,Telugu,,Eenati Chitralahari,,290,songs/anurag_kulkarni_kanne_kanne_from_arjun_suravaram.mp3,romantic
Chukkala Chunni,Anurag Kulkarni,,,Telugu,Telugu,,Sr Kalyanamandapam (Original Motion Picture Soundtrack) - EP,,219,songs/anurag_kulkarni_chukkala_chunni.mp3,romantic
Kanne Kanne,Anurag Kulkarni,,,Telugu,Telugu,,Arjun Suravaram (Original Motion Picture Soundtrack),,290,songs/anurag_kulkarni_kanne_kanne.mp3,romantic
"Premalo (From ""Court"")",Anurag Kulkarni,,,Telugu,Telugu,,,,331,songs/anurag_kulkarni_premalo_from_court.mp3,romantic
Mellaga Tellarindoi,Anurag Kulkarni,,,Telugu,Telugu,,,,,songs/anurag_kulkarni_mellaga_tellarindoi.mp3,romantic
Vaaru Veeru,Anurag Kulkarni,,,Telugu,Telugu,,Devadas (Original Motion Picture Soundtrack),,266,songs/anurag_kulkarni_vaaru_veeru.mp3,romantic
Pillaa Raa(Background Score),Anurag Kulkarni,,,Telugu,Telugu,,,,,songs/anurag_kulkarni_pillaa_raabackground_score.mp3,romantic
Tanemandhe Tanemandhe,Anurag Kulkarni,,,Telugu,Telugu,,,,,songs/anurag_kulkarni_tanemandhe_tanemandhe.mp3,romantic
Masakali,Mohit Chauhan,,,Hindi,Hindi,,Delhi-6,,288,songs/mohit_chauhan_masakali.mp3,feel good
Guzarish,A.R. Rahman,,,Hindi,Hindi,,The Master Collection,,320,songs/ar_rahman_guzarish.mp3,feel good
Kajra Re,Shankar-Ehsaan-Loy,,,Hindi,Hindi,,,,,songs/shankar_ehsaan_loy_kajra_re.mp3,feel good
Maula Mere Maula,Roop Kumar Rathod,,,Hindi,Hindi,,Teri Deewani,,,songs/roop_kumar_rathod_maula_mere_maula.mp3,feel good
Mauja Hi Mauja,Pritam,,,Hindi,Hindi,,Jab We Met (Original Motion Picture Soundtrack),,245,songs/pritam_mauja_hi_mauja.mp3,feel good
Tum Hi Ho,Arijit Singh,,,Hindi,Hindi,,Aashiqui 2,,261,songs/arijit_singh_tum_hi_ho.mp3,feel good
Teri Deewani,Kailash Kher,,,Hindi,Hindi,,Kailasa,,323,songs/kailash_kher_teri_deewani.mp3,feel good
Pehli Nazar Mein,Atif Aslam,,,Hindi,Hindi,,Best of Atif Aslam,,,songs/atif_aslam_pehli_nazar_mein.mp3,feel good
Tere Bina,A.R. Rahman,,,Hindi,Hindi,,Essential - Chill Out,,312,songs/ar_rahman_tere_bina.mp3,feel good
Jaadu Teri Nazar,Udit Narayan,,,Hindi,Hindi,,Darr,,279,songs/udit_narayan_jaadu_teri_nazar.mp3,feel good
Saathiya,A.R. Rahman,,,Hindi,Hindi,,Best of A.R. Rahman: Melody King,,357,songs/ar_rahman_saathiya.mp3,feel good
Tera Chehra,Adnan Sami,,,Hindi,Hindi,,Tera Chehra,,153,songs/adnan_sami_tera_chehra.mp3,feel good
Meri Bheegi Bheegi Si,Kishore Kumar,,,Hindi,Hindi,,The Golden Collection,,246,songs/kishore_kumar_meri_bheegi_bheegi_si.mp3,feel good
Dil Laga Na,Pritam,,,Hindi,Hindi,,Dhoom D:1 And D:2,,304,songs/pritam_dil_laga_na.mp3,romantic
Teri Ore,Pritam,,,Hindi,Hindi,,Acche Din Acche Gaane,,339,songs/pritam_teri_ore.mp3,feel good
Tanha Dil,Shaan,,,Hindi,Hindi,,Bhool Ja,,293,songs/shaan_tanha_dil.mp3,romantic
Yaaron,KK,,,Hindi,Hindi,,Rockford (Original Motion Picture Soundtrack),,273,songs/kk_yaaron.mp3,feel good
Beedi,Vishal Bhardwaj,,,Hindi,Hindi,,Omkara - Special Edition,,350,songs/vishal_bhardwaj_beedi.mp3,feel good
Dum Maro Dum,Asha Bhosle,,,Hindi,Hindi,,The Best of Asha Bhosle: The Golden Voice of Bollywood,,194,songs/asha_bhosle_dum_maro_dum.mp3,feel good
Haule Haule,Sukhwinder Singh,,,Hindi,Hindi,,Rab Ne Bana Di Jodi,,266,songs/sukhwinder_singh_haule_haule.mp3,feel good
Iktara,Amit Trivedi,,,Hindi,Hindi,,Sufiana,,253,songs/amit_trivedi_iktara.mp3,feel good
Tera Nasha,The Bilz & Kashif,,,Hindi,Hindi,,Breaking Barriers,,248,songs/the_bilz_kashif_tera_nasha.mp3,feel good
Yeh Sham Mastani,Kishore Kumar,,,Hindi,Hindi,,Greatest Hits R D-Burman His Finest Ever,,276,songs/kishore_kumar_yeh_sham_mastani.mp3,feel good
Tune Jo Na Kaha,Mohit Chauhan,,,Hindi,Hindi,,New York,,310,songs/mohit_chauhan_tune_jo_na_kaha.mp3,feel good
Aye Khuda,Salim Merchant,,,Hindi,Hindi,,Paathshaala (Original Motion Picture Soundtrack),,280,songs/salim_merchant_aye_khuda.mp3,feel good
Aahun Aahun,Pritam,,,Hindi,Hindi,,Love Aaj Kal,,,songs/pritam_aahun_aahun.mp3,feel good
Jimmy Jimmy Jimmy Aaja,Parvati Khan,,,Hindi,Hindi,,Disco Nights,,182,songs/parvati_khan_jimmy_jimmy_jimmy_aaja.mp3,feel good
Kaise Mujhe,A.R. Rahman,,,Hindi,Hindi,,Crazy Love,,342,songs/ar_rahman_kaise_mujhe.mp3,feel good
Breathless,Shankar Mahadevan,,,Hindi,Hindi,,Breathless,,184,songs/shankar_mahadevan_breathless.mp3,feel good
Jhalak Dikhlaja,Himesh Reshammiya,,,Hindi,Hindi,,Aksar,,316,songs/himesh_reshammiya_jhalak_dikhlaja.mp3,feel good
Arziyan,Javed Ali,,,Hindi,Hindi,,Delhi-6 (Original Motion Picture Soundtrack),,519,songs/javed_ali_arziyan.mp3,feel good
Kal Ho Naa Ho,Sonu Nigam,,,Hindi,Hindi,,Kal Ho Naa Ho (Original Motion Picture Soundtrack),,323,songs/sonu_nigam_kal_ho_naa_ho.mp3,feel good
Dil Haara,Vishal-Shekhar,,,Hindi,Hindi,,,,351,songs/vishal_shekhar_dil_haara.mp3,romantic
Aaja Nachle,Sunidhi Chauhan,,,Hindi,Hindi,,Aaja Nachle,,305,songs/sunidhi_chauhan_aaja_nachle.mp3,feel good
Socha Hai,Farhan Akhtar,,,Hindi,Hindi,,Rock on!!,,251,songs/farhan_akhtar_socha_hai.mp3,feel good
Tum Se Hi,Pritam,,,Hindi,Hindi,,Jab We Met (Original Motion Picture Soundtrack),,321,songs/pritam_tum_se_hi.mp3,feel good
Bandeh,Indian Ocean,,,Hindi,Hindi,,Black Friday,,468,songs/indian_ocean_bandeh.mp3,feel good
Hai apna dil to aawara,Hemant Kumar,,,Hindi,Hindi,,From the Pen of Majrooh Sultanpuri,,261,songs/hemant_kumar_hai_apna_dil_to_aawara.mp3,romantic
Aao Milo Chalo,Pritam,,,Hindi,Hindi,,Jab We Met (Original Motion Picture Soundtrack),,325,songs/pritam_aao_milo_chalo.mp3,feel good
Lift Kara De,Adnan Sami,,,Hindi,Hindi,,Kabhi To Nazar Milao/Bheegi Bheegi raton Mein,,249,songs/adnan_sami_lift_kara_de.mp3,feel good
Bheegi Bheegi Raton Mein,Adnan Sami,,,Hindi,Hindi,,Kabhi To Nazar Milao/Bheegi Bheegi raton Mein,,358,songs/adnan_sami_bheegi_bheegi_raton_mein.mp3,feel good
Tere Mere Saath,Lucky Ali,,,Hindi,Hindi,,Aks,,272,songs/lucky_ali_tere_mere_saath.mp3,feel good
Tu Kaun Hai,Lucky Ali,,,Hindi,Hindi,,Aks,,243,songs/lucky_ali_tu_kaun_hai.mp3,feel good
Khwaja Mere Khwaja,A.R. Rahman,,,Hindi,Hindi,,Jodhaa Akbar,,,songs/ar_rahman_khwaja_mere_khwaja.mp3,feel good
Yeh Jo Des Hai Tera,A.R. Rahman,,,Hindi,Hindi,,Swades,,368,songs/ar_rahman_yeh_jo_des_hai_tera.mp3,feel good
Zara Sa Jhoom Loon Main,Asha Bhosle,,,Hindi,Hindi,,A Mighty Heart (Music From The Motion Picture),,353,songs/asha_bhosle_zara_sa_jhoom_loon_main.mp3,feel good
Kitni Haseen Zindagi,Lucky Ali,,,Hindi,Hindi,,Aks,,256,songs/lucky_ali_kitni_haseen_zindagi.mp3,feel good
Tunak Tunak Tun,Daler Mehndi,,,Hindi,Hindi,,Tunak Tunak Tun,,303,songs/daler_mehndi_tunak_tunak_tun.mp3,feel good
Aankhein Khuli,Jatin-Lalit,,,Hindi,Hindi,,,,,songs/jatin_lalit_aankhein_khuli.mp3,feel good
O Mere Dil Ke Chain,Kishore Kumar,,,Hindi,Hindi,,Greatest Hits R D-Burman His Finest Ever,,273,songs/kishore_kumar_o_mere_dil_ke_chain.mp3,romantic
Koi aanay wala hai,Strings,,,Hindi,Hindi,,Koi Aanay Wala Hai,,268,songs/strings_koi_aanay_wala_hai.mp3,feel good
Zindagi Ka Safar,Kishore Kumar,,,Hindi,Hindi,,"A Tribute to a Legend: Kishore Kumar, Volume 1",,239,songs/kishore_kumar_zindagi_ka_safar.mp3,feel good
Jhoom,Shankar Mahadevan,,,Hindi,Hindi,,Jhoom Barabar Jhoom (Original Motion Picture Soundtrack),,324,songs/shankar_mahadevan_jhoom.mp3,feel good
O Humdum Suniyo Re,A.R. Rahman,,,Hindi,Hindi,,,,236,songs/ar_rahman_o_humdum_suniyo_re.mp3,feel good
Jumme Ki Raat,Mika Singh,,,Hindi,Hindi,,Kick (Original Motion Picture Soundtrack),,273,songs/mika_singh_jumme_ki_raat.mp3,sleepy
Mana Janab Ne Pukara Nahin,Kishore Kumar,,,Hindi,Hindi,,Great Artiste Great Hits,,248,songs/kishore_kumar_mana_janab_ne_pukara_nahin.mp3,feel good
Dekha Hai Aise Bhi,Lucky Ali,,,Hindi,Hindi,,Sifar,,238,songs/lucky_ali_dekha_hai_aise_bhi.mp3,feel good
Chand Sifarish,Jatin-Lalit,,,Hindi,Hindi,,,,,songs/jatin_lalit_chand_sifarish.mp3,feel good
O Meri Jaan,KK,,,Hindi,Hindi,,Tum Mile,,276,songs/kk_o_meri_jaan.mp3,feel good
Main Hoon Don,Shaan,,,Hindi,Hindi,,Don,,330,songs/shaan_main_hoon_don.mp3,feel good
Tu Mile Dil Khile (remix),"Kumar Sanu, Alka Yagnik",,,Hindi,Hindi,,Tu Mile Dil Khile (remix),,332,songs/kumar_sanu_alka_yagnik_tu_mile_dil_khile_remix.mp3,romantic
Bholi Si Surat,Uttam Singh,,,Hindi,Hindi,,,,258,songs/uttam_singh_bholi_si_surat.mp3,happy
Aap Jaisa Koi,Nazia Hassan,,,Hindi,Hindi,,Best of Nazia Hassan,,247,songs/nazia_hassan_aap_jaisa_koi.mp3,feel good
Tera Mera Rishta,Mustafa Zahid,,,Hindi,Hindi,,Awarapan,,347,songs/mustafa_zahid_tera_mera_rishta.mp3,feel good
Kabhi Kabhi Aditi,Rashid Ali,,,Hindi,Hindi,,Jaane Tu... Ya Jaane Na (Original Motion Picture Soundtrack),,218,songs/rashid_ali_kabhi_kabhi_aditi.mp3,feel good
Aaja Nachle,Bally Sagoo,,,Hindi,Hindi,,Aaja Nachle,,395,songs/bally_sagoo_aaja_nachle.mp3,feel good
Humko Humise Chura Lo,Jatin-Lalit,,,Hindi,Hindi,,,,,songs/jatin_lalit_humko_humise_chura_lo.mp3,feel good
Agar Tum Mil Jao,Shreya Ghoshal,,,Hindi,Hindi,,Hi Honey,,360,songs/shreya_ghoshal_agar_tum_mil_jao.mp3,feel good
Lift Karadey,Adnan Sami,,,Hindi,Hindi,,Kabhi To Nazar Milao,,249,songs/adnan_sami_lift_karadey.mp3,feel good
Mera Naam Chin Chin Chu,Geeta Dutt,,,Hindi,Hindi,,Bollywood Bizarro,,268,songs/geeta_dutt_mera_naam_chin_chin_chu.mp3,feel good
Amplifier,Imran Khan,,,Hindi,Hindi,,Unforgettable,,145,songs/imran_khan_amplifier.mp3,feel good
Choo Lo,The Local train,,,Hindi,Hindi,,Aalas Ka Pedh,,233,songs/the_local_train_choo_lo.mp3,feel good
Om Mangalam,RDB,,,Hindi,Hindi,,Kambakkht Ishq,,264,songs/rdb_om_mangalam.mp3,feel good
Mausam,Mithoon,,,Hindi,Hindi,,The Train,,,songs/mithoon_mausam.mp3,feel good
Phir Se Ud Chala,Mohit Chauhan,,,Hindi,Hindi,,Rockstar (Original Motion Picture Soundtrack),,268,songs/mohit_chauhan_phir_se_ud_chala.mp3,feel good
Kabhi Khushi Kabhie Gham,Lata Mangeshkar,,,Hindi,Hindi,,Добро пожаловать в Болливуд,,475,songs/lata_mangeshkar_kabhi_khushi_kabhie_gham.mp3,happy
Jiya Lage Na,Sona Mohapatra,,,Hindi,Hindi,,,,,songs/sona_mohapatra_jiya_lage_na.mp3,feel good
Ye Ishq Hai,Pritam,,,Hindi,Hindi,,The Second Best Exotic Marigold Hotel (Original Motion Picture Soundtrack),,280,songs/pritam_ye_ishq_hai.mp3,romantic
Jab Se Tere Naina,Shaan,,,Hindi,Hindi,,Saawariya,,286,songs/shaan_jab_se_tere_naina.mp3,feel good
Jiya Dhadak Dhadak Jaye,Rahat Fateh Ali Khan,,,Hindi,Hindi,,Bollywood Box Set,,319,songs/rahat_fateh_ali_khan_jiya_dhadak_dhadak_jaye.mp3,feel good
Dil Haara,Sukhwinder Singh,,,Hindi,Hindi,,Tashan,,352,songs/sukhwinder_singh_dil_haara.mp3,romantic
"O Saki Saki (From ""Batla House"")",Vishal-Shekhar,,,Hindi,Hindi,,,,,songs/vishal_shekhar_o_saki_saki_from_batla_house.mp3,feel good
Pal,Javed-Mohsin,,,Hindi,Hindi,,Arijit Singh - India Tour Hits,,247,songs/javed_mohsin_pal.mp3,feel good
Phir Dekhiye,Caralisa Monteiro,,,Hindi,Hindi,,Rock on!!,,204,songs/caralisa_monteiro_phir_dekhiye.mp3,feel good
Chittiyaan Kalaiyaan,Meet Bros Anjjan,,,Hindi,Hindi,,Roy (Original Motion Picture Soundtrack),,246,songs/meet_bros_anjjan_chittiyaan_kalaiyaan.mp3,feel good
Khoon Chala,Mohit Chauhan,,,Hindi,Hindi,,Rang De Basanti,,187,songs/mohit_chauhan_khoon_chala.mp3,lonely
Ghanan Ghanan,A.R. Rahman,,,Hindi,Hindi,,Lagaan: Once Upon A Time In India,,371,songs/ar_rahman_ghanan_ghanan.mp3,feel good
Yeh Dil Na Hota Bechara,Kishore Kumar,,,Hindi,Hindi,,Great Artiste Great Hits,,268,songs/kishore_kumar_yeh_dil_na_hota_bechara.mp3,romantic
Khilte Hain Gul Yahan,Kishore Kumar,,,Hindi,Hindi,,"The Golden Collection - Kishore Kumar, Vol. 2",,242,songs/kishore_kumar_khilte_hain_gul_yahan.mp3,feel good
Woh Ladki Hai Kahan,Shankar-Ehsaan-Loy,,,Hindi,Hindi,,,,306,songs/shankar_ehsaan_loy_woh_ladki_hai_kahan.mp3,feel good
Ajab Si,KK,,,Hindi,Hindi,,Om Shanti Om,,242,songs/kk_ajab_si.mp3,feel good
Zara Zara,Bombay Jayashri,,,Hindi,Hindi,,R.H.T.D.M,,298,songs/bombay_jayashri_zara_zara.mp3,feel good
Bang Bang,Benny Dayal,,,Hindi,Hindi,,Bang Bang (Original Motion Picture Soundtrack),,320,songs/benny_dayal_bang_bang.mp3,feel good
"Ranjha (From ""Shershaah"")",Jasleen Royal,,,Hindi,Hindi,,,,,songs/jasleen_royal_ranjha_from_shershaah.mp3,feel good
Yakeen,Atif Aslam,,,Hindi,Hindi,,Jal Pari,,,songs/atif_aslam_yakeen.mp3,feel good
"Duniyaa (From ""Luka Chuppi"")",Akhil,,,Hindi,Hindi,,Feel-Good Tum Jo Aaye,,222,songs/akhil_duniyaa_from_luka_chuppi.mp3,feel good
Jee Le Zaraa,Vishal Dadlani,,,Hindi,Hindi,,Talaash,,217,songs/vishal_dadlani_jee_le_zaraa.mp3,feel good
Ainvayi Ainvayi,Salim–Sulaiman,,,Hindi,Hindi,,,,,songs/salimsulaiman_ainvayi_ainvayi.mp3,feel good
Labon Ko,Pritam,,,Hindi,Hindi,,Bhool Bhulaiyaa (Original Motion Picture Soundtrack),,341,songs/pritam_labon_ko.mp3,feel good
Dhoom Machale,Pritam,,,Hindi,Hindi,,Dhoom,,374,songs/pritam_dhoom_machale.mp3,feel good
Maahi Ve,Shankar-Ehsaan-Loy,,,Hindi,Hindi,,Kal Ho Naa Ho,,366,songs/shankar_ehsaan_loy_maahi_ve.mp3,feel good
Nagada Nagada,Pritam,,,Hindi,Hindi,,Jab We Met (Original Motion Picture Soundtrack),,228,songs/pritam_nagada_nagada.mp3,feel good
Gori Gori Gori Gori,Anu Malik,,,Hindi,Hindi,,,,,songs/anu_malik_gori_gori_gori_gori.mp3,feel good
Song: Maar Dala,Kavita Krishnamurthy,,,Hindi,Hindi,,"Devdas - An Adaptation Of Sarat Chandra Chattopadhyay's ""Devdas""",,246,songs/kavita_krishnamurthy_song_maar_dala.mp3,feel good
Jimmy,M.I.A.,,,Hindi,Hindi,,Kala,,207,songs/mia_jimmy.mp3,feel good
Crazy Kiya Re,Pritam,,,Hindi,Hindi,,Dhoom D:1 And D:2,,295,songs/pritam_crazy_kiya_re.mp3,feel good
Song: Bairi Piya,Udit Narayan,,,Hindi,Hindi,,"Devdas - An Adaptation of Sarat Chandra Chattopadhyay's ""Devdas"" (Original Soundtrack)",,319,songs/udit_narayan_song_bairi_piya.mp3,feel good
Jogi,Panjabi MC,,,Hindi,Hindi,,Jogi,,191,songs/panjabi_mc_jogi.mp3,feel good
Mujhko Yaad Sataye Teri,Himesh Reshammiya,,,Hindi,Hindi,,Phir Hera Pheri (Original Motion Picture Soundtrack),,279,songs/himesh_reshammiya_mujhko_yaad_sataye_teri.mp3,sad
Aaj Mera Jee Kardaa (Today My Heart Desires),Mychael Danna,,,Hindi,Hindi,,Le mariage des moussons (Mira Nair's Original Motion Picture Soundtrack),,311,songs/mychael_danna_aaj_mera_jee_kardaa_today_my_heart_desires.mp3,sad
Kal Ho Naa Ho,Shankar-Ehsaan-Loy,,,Hindi,Hindi,,Kal Ho Naa Ho,,321,songs/shankar_ehsaan_loy_kal_ho_naa_ho.mp3,feel good
Bole Chudiyan,Jatin-Lalit,,,Hindi,Hindi,,,,408,songs/jatin_lalit_bole_chudiyan.mp3,feel good
Chaiyya Chaiyya,Sukhwinder Singh & Sapna Awasthi,,,Hindi,Hindi,,Dil Se,,414,songs/sukhwinder_singh_sapna_awasthi_chaiyya_chaiyya.mp3,feel good
Pretty Woman,Shankar-Ehsaan-Loy,,,Hindi,Hindi,,Kal Ho Naa Ho,,353,songs/shankar_ehsaan_loy_pretty_woman.mp3,feel good
Dil Se Re,A.R. Rahman,,,Hindi,Hindi,,Dil Se,,405,songs/ar_rahman_dil_se_re.mp3,romantic
Deewangi Deewangi,Vishal-Shekhar,,,Hindi,Hindi,,,,,songs/vishal_shekhar_deewangi_deewangi.mp3,feel good
Dil Cheez Kya Hai,Asha Bhosle,,,Hindi,Hindi,,The Rough Guide To Bollywood Legends: Asha Bhosle,,360,songs/asha_bhosle_dil_cheez_kya_hai.mp3,romantic
Babuji Dheere Chalna,Geeta Dutt,,,Hindi,Hindi,,"Geeta Dutt, Vol. 1 (Bollywood Songs)",,180,songs/geeta_dutt_babuji_dheere_chalna.mp3,feel good
Mitwa,Shankar-Ehsaan-Loy,,,Hindi,Hindi,,,,382,songs/shankar_ehsaan_loy_mitwa.mp3,feel good
Rock On!!,Farhan Akhtar,,,Hindi,Hindi,,Rock On!!,,,songs/farhan_akhtar_rock_on.mp3,feel good
TRICKY HOUSE,xikers,,,Hindi,Hindi,,HOUSE OF TRICKY : Doorbell Ringing,,184,songs/xikers_tricky_house.mp3,feel good
Nagada Sang Dhol,Shreya Ghoshal,,,Hindi,Hindi,,,,273,songs/shreya_ghoshal_nagada_sang_dhol.mp3,feel good
Jai Ho,A.R. Rahman,,,Hindi,Hindi,,Slumdog Millionaire - Music From The Motion Picture,,318,songs/ar_rahman_jai_ho.mp3,feel good
PTT (Paint the Town),Loona,,,Hindi,Hindi,,PTT (Paint The Town),,254,songs/loona_ptt_paint_the_town.mp3,sad
It's the Time to Disco,Shankar-Ehsaan-Loy,,,Hindi,Hindi,,Indian Love Story - Lebe und denke nicht an morgen,,333,songs/shankar_ehsaan_loy_its_the_time_to_disco.mp3,party
Channo,Ali Zafar,,,Hindi,Hindi,,Huqa Pani,,283,songs/ali_zafar_channo.mp3,feel good
Maa,Shankar Mahadevan,,,Hindi,Hindi,,Taare Zameen Par (Original Motion Picture Soundtrack),,277,songs/shankar_mahadevan_maa.mp3,feel good
Chale Chalo,A.R. Rahman,,,Hindi,Hindi,,Best of A.R. Rahman: Melody King,,397,songs/ar_rahman_chale_chalo.mp3,feel good
Love Mera Hit Hit,Neeraj Shridhar,,,Hindi,Hindi,,,,,songs/neeraj_shridhar_love_mera_hit_hit.mp3,romantic
Zaalima,Arijit Singh,,,Hindi,Hindi,,Collection,,299,songs/arijit_singh_zaalima.mp3,feel good
Wada Na Tod,Lata Mangeshkar,,,Hindi,Hindi,,Eternal Sunshine of the Spotless Mind,,354,songs/lata_mangeshkar_wada_na_tod.mp3,feel good
Khuda Jaane,Vishal-Shekhar,,,Hindi,Hindi,,,,,songs/vishal_shekhar_khuda_jaane.mp3,feel good
Song: Dola Re,Kavita Krishnamurthy,,,Hindi,Hindi,,,,303,songs/kavita_krishnamurthy_song_dola_re.mp3,feel good
Noorie,Bally Sagoo,,,Hindi,Hindi,,Bollywood Flashback 2,,348,songs/bally_sagoo_noorie.mp3,feel good
My Dil Goes Mmmm,Vishal-Shekhar,,,Hindi,Hindi,,,,,songs/vishal_shekhar_my_dil_goes_mmmm.mp3,romantic
San Sanana,Anu Malik,,,Hindi,Hindi,,,,355,songs/anu_malik_san_sanana.mp3,feel good
Tum Se Hi,Mohit Chauhan,,,Hindi,Hindi,,Jab We Met,,321,songs/mohit_chauhan_tum_se_hi.mp3,feel good
Ek Dil Ek Jaan,Shivam Pathak,,,Hindi,Hindi,,Padmaavat (Original Motion Picture Soundtrack),,219,songs/shivam_pathak_ek_dil_ek_jaan.mp3,romantic
Tere Bina Jiya Jaaye Na,Sunidhi Chauhan,,,Hindi,Hindi,,Ek Ladki Ko Dekha - Love Mixes,,303,songs/sunidhi_chauhan_tere_bina_jiya_jaaye_na.mp3,feel good
Chhabeela,Alka Yagnik,,,Hindi,Hindi,,Saawariya,,323,songs/alka_yagnik_chhabeela.mp3,feel good
Thode Badmash,Shreya Ghoshal,,,Hindi,Hindi,,,,199,songs/shreya_ghoshal_thode_badmash.mp3,feel good
Chura Liya,Bally Sagoo,,,Hindi,Hindi,,Bollywood Flashback 2,,234,songs/bally_sagoo_chura_liya.mp3,feel good
Galliyan,Ankit Tiwari,,,Hindi,Hindi,,Ek Villain,,340,songs/ankit_tiwari_galliyan.mp3,feel good
Ruk Ja O Dil Deewane,Udit Narayan,,,Hindi,Hindi,,Your Favourite Hits of Udit Narayan,,312,songs/udit_narayan_ruk_ja_o_dil_deewane.mp3,romantic
Raat Ka Nasha,Chitra,,,Hindi,Hindi,,,,311,songs/chitra_raat_ka_nasha.mp3,sleepy
Chaiyya Chaiyya,A.R. Rahman,,,Hindi,Hindi,,Bombay Dreams,,311,songs/ar_rahman_chaiyya_chaiyya.mp3,feel good
Jaane Kyun,Vishal Dadlani,,,Hindi,Hindi,,Dostana (Original Motion Picture Soundtrack),,277,songs/vishal_dadlani_jaane_kyun.mp3,feel good
Chhoti Si Kahani Se,Asha Bhosle,,,Hindi,Hindi,,Ijaazat,,433,songs/asha_bhosle_chhoti_si_kahani_se.mp3,feel good
Teri Galiyon Mein,Mohammed Rafi,,,Hindi,Hindi,,Legends - Mohd. Rafi - The Virtuoso - 5,,273,songs/mohammed_rafi_teri_galiyon_mein.mp3,feel good
Jaane Kyon,Shankar-Ehsaan-Loy,,,Hindi,Hindi,,,,289,songs/shankar_ehsaan_loy_jaane_kyon.mp3,feel good
