title,singer,music_director,actor,genre,language,movie_name,album,year,duration_seconds,audio_file_path,moods
"Magadheera || Telugu Full Movie || RamCharan, Kajal Agarwal",Geetha Arts,,,Telugu,Telugu,,,,,songs/geetha_arts_magadheera_telugu_full_movie_ramcharan_kajal_agarwal.mp3,feel good
"""పొట్టేలు పున్నమ్మ"" తెలుగుపూర్తిసినిమా|శ్రీప్రియ |మురళీమోహన్|మోహన్ బాబు|రావుగోపాలరావు|అల్లు| రాజనాల",All Telugu Movies,,,Telugu,Telugu,,,,,songs/all_telugu_movies_పటటల_పననమమ_తలగపరతసనమశరపరయ_మరళమహనమహన_బబరవగపలరవఅలల_రజనల.mp3,feel good
Ora Jupu,Aathirai Sivapalan,,,Telugu,Telugu,,,,,songs/aathirai_sivapalan_ora_jupu.mp3,feel good
English Dubbed Telugu Movie || Latest Telugu Movies 2016,Ariana's Quest (Jigarbaaz Hasinaa ) English Dubbed Telugu Movie,,,Telugu,Telugu,,,,,songs/arianas_quest_jigarbaaz_hasinaa_english_dubbed_telugu_movie_english_dubbed_telugu_movie_latest_telugu_movies_2016.mp3,feel good
Saahore Baahubali,Bahubali (2017)_Telugu,,,Telugu,Telugu,,,,,songs/bahubali_2017_telugu_saahore_baahubali.mp3,feel good
1996 Telugu HD Full Movie,Sri Krishnarjuna Vijayam,,,Telugu,Telugu,,,,,songs/sri_krishnarjuna_vijayam_1996_telugu_hd_full_movie.mp3,feel good
Disco Sanskrit,S.P. Balasubrahmanyam,,,Telugu,Telugu,,,,,songs/sp_balasubrahmanyam_disco_sanskrit.mp3,party
"Chiranjeevi,Bhoomika",Mani Sharma,,,Telugu,Telugu,,,,,songs/mani_sharma_chiranjeevibhoomika.mp3,feel good
01.Nee Dookudu,Shankar Mahadevan,,,Telugu,Telugu,,,,,songs/shankar_mahadevan_01nee_dookudu.mp3,romantic
Viswaprakasunaku,Vinaya Chejerla,,,Telugu,Telugu,,,,,songs/vinaya_chejerla_viswaprakasunaku.mp3,feel good
NTR,Palletoori Pilla Telugu Full Movie,,,Telugu,Telugu,,,,,songs/palletoori_pilla_telugu_full_movie_ntr.mp3,feel good
